db2 "INSERT INTO CONTRIBUYENTE VALUES ('47434627U','Mónica','Quintero Orellana','612488819')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('19936353N','Rebeca','Armijo Trujillo','655959891')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('14037029E','Alicia','Amaya Hurtado','640606708')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('26497736Z','Manuel','Leal Vázquez','670783223')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('25986316M','Gustavo','Bueno Reyna','637530470')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('41237648D','Claudia','Mayorga Lucero','648034275')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('40839066R','Virginia','Limón Delacrúz','626079851')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('21341913E','David','Becerra Gil','615071824')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('15319984Q','Verónica','Peralta Prieto','682392003')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('29775899U','Felipe','Arteaga Ontiveros','628097316')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('26903692R','Manuel','Matos Alvarado','670185144')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('30182557B','María del Carmen','Crespo Menéndez','687846825')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('27726596J','Pedro','Cerda Hurtado','691328824')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('13621105J','Conchita','Mares Almonte','682504188')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('27949335Y','Cristóbal','Tafoya Uribe','633703806')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('10272349D','Germán','Zarate Cano','606299439')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('19465374W','Agustín','Corral Osorio','693709395')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('47121162T','Isabel','Tórrez Pedraza','678666962')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('34190855O','Esperanza','Pizarro Olivo','666149353')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('18860627Y','Francisco','Prieto Manzanares','648965809')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('35707267J','María Soledad','Quintana Valenzuela','630888021')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('47838096Y','Víctor','Raya Fonseca','601401393')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('23065198Q','Ramiro','Campos Mota','672840326')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('45776690E','Soledad','Rodríguez Espino','610450395')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('18336395D','Diego','Díaz Santacruz','678319814')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('29416551Q','Diana','Cantú Benavídez','642465225')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('25837529F','Marilú','Angulo Benavides','694533355')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('26505479G','Irene','Castañeda Téllez','690737856')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('17675497O','José Emilio','Niño Quintanilla','668739052')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('49044692G','Patricio','Sauceda Campos','668807711')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('23783501R','Ricardo','Tafoya Alemán','665778155')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('40262372Q','Mariana','Duarte Parra','678382920')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('27057330U','Sara','Carbajal Hernández','678337363')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('32491066M','Enrique','Colunga Rosario','662605720')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('18930164A','Ignacio','Osorio Rojas','658610108')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('32280838T','Ramiro','González Rosario','616779895')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('14278487I','Esperanza','Collado Cazares','656919376')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('34803800T','Elsa','Vigil Girón','698721988')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('31442210N','Eloisa','Abeyta Garay','662795779')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('13823596W','Estela','Nájera Durán','617661195')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('19786096W','Federico','Ureña Ramos','687173116')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('38862264K','Javier','Soria Urías','682046919')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('45053229D','Guillermo','Jáquez Griego','642787486')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('23775287F','Ana María','Ávila Chacón','641729523')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('47750405Z','Diana','Ulibarri Carrera','684888347')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('49092920S','Alejandra','Sauceda Alcaraz','643698414')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('10890954N','Ana','Naranjo Saiz','628277496')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('16934304A','Sergio','Solís Ponce','646432334')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('16342387D','Caridad','Mata Ledesma','682367314')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('10561661A','Lorena','Malave Gómez','646173346')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('49483973R','Beatriz','Angulo Ceja','669685828')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('31012883V','Benito','Sauceda Trujillo','659056964')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('23633605T','Irene','Ortega Lucio','638957528')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('15529811F','Francisca','Anaya Alva','640397940')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('33542629Q','Lilia','Lozada Salcedo','676029985')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('35754440N','Virginia','Muñiz Amador','676367068')"
db2 "INSERT INTO CONTRIBUYENTE VALUES ('40808944H','Luis Miguel','Marín Saavedra','659099352')"
